#enyzme	Aromatic alcohols	Aliphatic alcohols	Aromatic amines	Aliphatic amines	Terpenoids	Flavonoids	Anthocyanins	Phenolic glycosides	Sugar derivatives	Alkaloids
GmIMaT3_KY399790.1	0	0	0	0	0	1	0	0	0	0
GmMT7_EU192928.1	0	0	0	0	0	1	0	0	0	0
Gt5AT_AB010708	0	0	0	0	0	0	1	0	0	0
HvACT_AY228552	0	0	0	1	0	0	0	0	0	0
Ih3AT1_AB217625.1	0	0	0	0	0	0	1	0	0	0
Ih3AT2_AB242298.1	0	0	0	0	0	0	1	0	0	0
LaHMT_HLT_AB181292	0	0	0	0	0	0	0	0	0	1
LanAAT1_DQ886904.1	1	0	1	0	0	0	0	0	0	1
Lp3MAT1_AY500352	0	0	0	0	0	1	0	1	0	0
MdAAT1_AY707098	1	1	0	0	0	0	0	0	0	0
MeHFT_MeHFT	0	1	1	0	1	1	1	0	0	0
MoRAS_FR670523.1	1	0	0	0	0	0	0	0	0	0
MsAAT_AX025506	1	1	0	0	1	0	0	0	0	0
MtMaT1_EU272030.1	0	0	0	0	0	1	0	0	0	0
MtMaT2_EU272032.1	0	0	0	0	0	1	0	0	0	0
MtMaT3_EU272031.1	0	0	0	0	0	1	0	0	0	0
NaAT1_JN390826.1	0	0	0	1	0	0	0	0	0	0
NaDH29_JN390824.1	0	0	0	1	0	0	0	0	0	0
NtBEBT_AF500202	1	0	0	0	0	0	0	0	0	0
NtHCT_AJ507825	1	0	0	0	0	0	0	0	0	0
NtHQT_AJ582651	1	0	0	0	0	0	0	0	0	0
NtMAT1_AB176525	0	0	0	0	0	1	0	1	0	0
ObCAAT1_QKK36036.1	1	0	0	0	0	0	0	0	0	0
ObCAAT2_QKK36037.1	1	0	0	0	0	0	0	0	0	0
OsHCT_XM_015786263.1	1	1	0	0	0	0	0	0	0	0
OsPMT_XM_015765814.1	1	0	0	0	0	0	0	0	0	0
OsTBT1_Os11g42290	0	0	0	1	0	0	0	0	0	1
OsTBT2_Os11g42370	0	0	0	1	0	0	0	0	0	1
OsTHT1_AK287765.1	0	0	1	1	0	0	0	0	0	1
OsTHT2_XM_015757482.1	0	0	1	1	0	0	0	0	0	1
PaxASAT1_KT716258.1	0	0	0	0	0	0	0	0	1	0
PaxASAT2_KT716259.1	0	0	0	0	0	0	0	0	1	0
PaxASAT3_KT716260.1	0	0	0	0	0	0	0	0	1	0
PaxASAT4_KT716261.1	0	0	0	0	0	0	0	0	1	0
PaxCFAT_DQ767969.1	1	1	0	0	1	0	0	0	0	0
Pc3MAT_AY190121	0	0	0	0	0	0	1	0	0	0
Pf3AT_AB029340	0	0	0	0	0	0	1	0	0	0
PhBPBT_AY611496	1	1	0	0	0	0	0	0	0	0
PpHCT1_KU513965.1	1	1	1	0	0	0	0	0	0	0
PrHCT_EF121452.1	1	0	1	0	0	0	0	0	0	0
PsHCT2_FN647681.1	1	0	1	0	0	1	0	0	0	0
PsRAS_AM283092.1	1	0	0	0	0	0	0	0	0	0
PsSALAT_AF339913	0	0	0	0	0	0	0	0	0	1
PtBEBT_KP228019.1	1	0	0	0	0	0	0	0	0	0
PtFHT1_JX515962.1	0	1	0	0	0	0	0	0	0	0
PtHCT1_EU603313.1	1	0	0	0	0	0	0	0	0	0
PtHCT6_XM_006368430.2	1	0	1	0	0	0	0	0	0	0
PtSABT_KP228018.1	1	0	0	0	0	0	0	0	0	0
PvHCT1a_AB723827.1	1	0	0	0	0	0	0	0	0	0
PvHCT2a_KC696573.1	1	0	1	0	0	0	0	0	0	0
PvHCTLike1_AFY17066.1	1	0	0	0	0	0	0	0	0	0
PvHHHT_KX443573.1	0	1	0	0	0	0	0	0	0	0
RhAAT1_AY850287	0	1	0	0	1	0	0	0	0	0
RsACT_AJ556780	0	0	0	0	0	0	0	0	0	1
SbHCT_XM_002452390.2	1	0	0	0	0	0	0	0	0	0
ShASAT2_KT359561.1	0	0	0	0	0	0	0	0	1	0
SlAAT1_KM975322.1	1	1	0	0	0	0	0	0	0	0
SlACT1_Solyc11g071470.1	0	0	0	1	0	0	0	0	0	0
SlACT2_Solyc11g071480.1.1	0	0	0	1	0	0	0	0	0	0
SlASAT1_NM_001329403.1	0	0	0	0	0	0	0	0	1	0
SlASAT2_NM_001329392.1	0	0	0	0	0	0	0	0	1	0
SlASAT3	0	0	0	0	0	0	0	0	1	0
SlASAT4	0	0	0	0	0	0	0	0	1	0
SlHCT_Solyc03g117600.2.1	1	0	1	0	1	0	1	0	0	0
SlHQT_AJ582652.1	1	0	0	0	0	0	0	0	0	0
SmHCT1a_XM_002979015.2	1	0	1	0	0	1	0	0	0	0
SmSpmHT_AKP24035.1	0	0	0	1	0	0	0	0	0	0
SpAAT1_KM975321.1	1	1	0	0	1	0	0	0	0	0
SqTAITAT_MT024677	0	0	0	0	0	0	0	0	1	0
SrSpmHT_AMB21755.1	0	0	0	1	0	0	0	0	0	0
Ss5MAT1_AF405707	0	0	0	0	0	0	1	0	0	0
Ss5MAT2_AY383734	0	0	0	0	0	0	1	0	0	0
SsiASAT1_KY978746.1	0	0	0	0	0	0	0	0	1	0
SsiASAT2_KY978747.1	0	0	0	0	0	0	0	0	1	0
SsiASAT3_KY978748.1	0	0	0	0	0	0	0	0	1	0
SsiASAT5_KY978749.1	0	0	0	0	0	0	0	0	1	0
StFHT_NM_001288261.1	0	1	0	0	0	0	0	0	0	0
TcBAPT_AY082804	0	0	0	0	1	0	0	0	0	0
TcDBAT_AF193765	0	0	0	0	1	0	0	0	0	0
TcDBBT_AF297618	0	0	0	0	1	0	0	0	0	0
TcDBNTBT_AF466397	0	0	0	0	1	0	0	0	0	0
TcTAT_AF190130	0	0	0	0	1	0	0	0	0	0
TfHCT1A_EU861218.1	1	0	0	0	0	0	0	0	0	0
TfHCT1B_FJ151489.1	1	0	0	0	0	0	0	0	0	0
TfHCT2_EU861219.1	0	1	0	0	0	0	0	0	0	0
Vh3MAT1_AY500350	0	0	0	0	0	1	0	1	0	0
VlAMAT_AY705388	1	1	0	0	0	0	0	0	0	0
Vv3AT_KM267559.1	0	0	0	0	0	0	1	0	0	0
ZmpCAT_BT042717.1	1	0	0	0	0	0	0	0	0	0
OsPHT3_Os09g37180.1	0	0	0	1	0	0	0	0	0	0
OsPHT4_Os09g37200.1	0	0	0	1	0	0	0	0	0	0
VvSHT_MN787047	0	0	0	1	0	0	0	0	0	0
RicSHT_MN787043	0	0	0	1	0	0	0	0	0	0
SlSHT_MN787044	0	0	0	1	0	0	0	0	0	0
RocSHT_MN787046	0	0	0	1	0	0	0	0	0	0
NtSHT_MN787045	0	0	0	1	0	0	0	0	0	0
EpHHT_MT936803	0	1	0	0	0	0	0	0	0	0
EpHQT_MT936804	1	0	0	0	0	0	0	0	0	0
EpHCT_MT936805	1	0	0	0	0	0	0	0	0	0
PpHCT1_KU513965.1	1	1	0	0	0	0	0	0	0	0
ZmAat1_NP_001148286.2	0	0	0	0	0	0	1	0	0	0
PnPS_MW354956	0	0	0	1	0	0	0	0	0	1
PnPAS_MW354957	1	0	1	0	0	0	0	0	0	1
HvACT1-1_BAF97626	0	0	0	1	0	0	0	0	0	0
HvACT1-2_BAF97627	0	0	0	1	0	0	0	0	0	0
TaACT1-1_LC596951	0	0	0	1	0	0	0	0	0	0
TaACT1-2_LC596952	0	0	0	1	0	0	0	0	0	0
HmACT_LC596950	0	0	0	1	0	0	0	0	0	0
HvACT2_BAK00935	0	0	0	1	0	0	0	0	0	0
OsAHT1_ANQ47369	0	0	0	1	0	0	0	0	0	0
Os09g0544000_XP_015651357	0	0	0	1	0	0	0	0	0	0
PpAAT1_MH700174	1	1	0	0	0	0	0	0	0	0
LeSAT1_LC520137	1	0	0	0	0	0	0	0	0	0
AT5G07080_OAO95042.1	0	0	0	1	0	0	0	0	0	0
AT3G47170_NP_190301.2	0	0	0	1	0	0	0	0	0	0
SOAP10_KNA12459.1	0	0	0	0	1	0	0	0	0	0
CaAT20_MT277444	0	0	0	0	1	0	0	0	0	0
G1_Mpol_Mapoly0005s0261.1.p	0	0	0	0	0	0	0	0	0	0
G2_Ppat_Pp3c3_250V3.1.p	0	0	0	0	0	0	0	0	0	0
G3_Ppat_Pp3c14_6190V3.1.p	0	0	0	0	0	0	0	0	0	0
G4_Sfal_Sphfalx02G197500.1.p	0	0	0	0	0	0	0	0	0	0
G5_Sfal_Sphfalx08G078400.1.p	0	1	0	0	0	0	0	0	0	0
G6_Sfal_Sphfalx09G052100.1.p	0	0	0	0	0	0	0	0	0	0
G7_Sfal_Sphfalx12G001300.1.p	0	0	0	0	0	0	0	0	0	0
G8_MpolHCT_Mapoly0003s0277.1.p	1	0	0	0	0	0	1	0	0	0
G9_GBG76279.1_mod	0	0	0	0	0	0	0	0	0	0
G10_Aagr_000038l.49.1	0	1	0	0	0	0	0	0	0	0
